GeneID	chr_target	start_target	end_target	chr_query	start_query	end_query
ENSG00000186092	chr1	45419	91585	NC_071393_1	56853056	77087786
ENSG00000284733	chr1	430740	471678	NC_071393_1	56996239	76997177
ENSG00000284662	chr1	665679	706673	NC_071393_1	56996239	76997177
ENSG00000187634	chr1	903923	964575	NC_071389_1	1	10083321
ENSG00000188976	chr1	924203	979309	NC_071389_1	1	10094879
ENSG00000187961	chr1	940584	985719	NC_071389_1	1	10101340
ENSG00000187583	chr1	946482	995865	NC_071389_1	1	10108995
ENSG00000187642	chr1	955204	1002093	NC_071389_1	1	10113731
ENSG00000188290	chr1	978962	1020172	NC_071389_1	1	10130138
ENSG00000187608	chr1	981138	1034540	NC_071389_1	1	10138112
ENSG00000188157	chr1	1000120	1076118	NC_071389_1	1	10171353
ENSG00000237330	chr1	1050967	1094306	NC_071389_1	1	10179862
ENSG00000131591	chr1	1061818	1136361	NC_071389_1	1	10193086
ENSG00000186891	chr1	1183508	1226592	NC_071389_1	1	10264126
ENSG00000186827	chr1	1191340	1234153	NC_071389_1	1	10270855
ENSG00000078808	chr1	1196909	1252067	NC_071389_1	1	10281110
ENSG00000184163	chr1	1222446	1266722	NW_026527373_1	1	57288
ENSG00000160087	chr1	1233909	1293864	NW_026527373_1	1	57288
ENSG00000162572	chr1	1260436	1312029	NW_026527373_1	1	57288
ENSG00000131584	chr1	1272390	1329609	NW_026527373_1	1	57288
ENSG00000169972	chr1	1288597	1331677		0	0
ENSG00000127054	chr1	1291585	1344687	NC_071391_1	153915619	167477801
ENSG00000224051	chr1	1304756	1348896		0	0
ENSG00000169962	chr1	1311280	1355314		0	0
ENSG00000107404	chr1	1315276	1369418	NC_071388_1	32805168	52819045
ENSG00000162576	chr1	1332689	1381777		0	0
ENSG00000175756	chr1	1353730	1395495		0	0
ENSG00000221978	chr1	1365711	1419335	NC_071388_1	12985009	32990489
ENSG00000242485	chr1	1381909	1427293	NC_071389_1	1	10290924
ENSG00000235098	chr1	1398420	1441769	NC_071389_1	1	10295699
ENSG00000205116	chr1	1405871	1450255	NC_071389_1	1	10300002
ENSG00000160072	chr1	1451765	1517848	NC_071389_1	1	10337206
ENSG00000197785	chr1	1492162	1554685	NC_071389_1	1	10337203
ENSG00000205090	chr1	1514778	1560624	NC_071389_1	1	10344039
ENSG00000160075	chr1	1521673	1594863	NC_071389_1	1	10361607
ENSG00000228594	chr1	1578012	1620135	NC_071389_1	1	10368142
ENSG00000197530	chr1	1595454	1650605	NC_071389_1	1	10389148
ENSG00000189409	chr1	1612163	1655263	NC_071389_1	1	10392936
ENSG00000248333	chr1	1615225	1679012	NC_071389_1	1	10406864
ENSG00000189339	chr1	1639529	1712795	NC_071389_1	1	10420174
ENSG00000008128	chr1	1682379	1744357	NC_071389_1	1	10406864
ENSG00000008130	chr1	1731232	1800457	NC_071389_1	1	10442020
ENSG00000078369	chr1	1765285	1911117	NC_071389_1	1	10474934
ENSG00000169885	chr1	1895108	1937296	NC_071389_1	1	10522644
ENSG00000142609	chr1	1901951	2023837	NC_071389_1	1	10562925
ENSG00000187730	chr1	1999329	2050758	NC_071389_1	1	10590300
ENSG00000067606	chr1	2030411	2205395	NC_071389_1	1	10665882
ENSG00000162585	chr1	2164461	2232720		0	0
ENSG00000157933	chr1	2208319	2330213	NC_071389_1	1	10745057
ENSG00000116151	chr1	2301253	2411707	NC_071389_1	1	10790047
ENSG00000157916	chr1	2371775	2425442	NC_071389_1	1	10800131
ENSG00000157911	chr1	2383964	2433797	NC_071389_1	1	10806599
ENSG00000149527	chr1	2405980	2525532	NC_071389_1	1	10869370
ENSG00000157881	chr1	2488537	2546597	NC_071389_1	1	10885916
ENSG00000197921	chr1	2508745	2550263	NC_071389_1	1	10889403
ENSG00000157870	chr1	2566491	2611469		0	0
ENSG00000142606	chr1	2570639	2653016	NC_071389_1	1	10947000
ENSG00000215912	chr1	2615976	2821717	NC_071389_1	1	10973255
ENSG00000169717	chr1	3001467	3042903	NC_071389_1	1	11103795
ENSG00000142611	chr1	3049168	3458621	NC_071389_1	1	11418771
ENSG00000130762	chr1	3434665	3501113	NC_071389_1	1	11448062
ENSG00000162591	chr1	3467951	3631508	NC_071389_1	1	11530522
ENSG00000158109	chr1	3605015	3650127	NC_071389_1	1	11544005
ENSG00000116213	chr1	3610767	3672761	NC_071389_1	1	11560088
ENSG00000078900	chr1	3632516	3756201	NC_071389_1	1	11616129
ENSG00000162592	chr1	3726460	3791645	NC_071389_1	1	11640196
ENSG00000235169	chr1	3752749	3795982	NC_071389_1	1	11643626
ENSG00000130764	chr1	3758559	3816498	NC_071389_1	1	11654843
ENSG00000116198	chr1	3792086	3877396	NC_071389_1	1	11683280
ENSG00000169598	chr1	3837267	3905429	NC_071389_1	1	11695314
ENSG00000198912	chr1	3869125	3920293	NC_071389_1	1	11704513
ENSG00000196581	chr1	4634609	4812534	NC_071389_1	1	12076550
ENSG00000131697	chr1	5842811	6012473	NC_071389_1	1	12681245
ENSG00000069424	chr1	5970927	6121193	NC_071389_1	1	12749735
ENSG00000116254	chr1	6081787	6200321	NC_071389_1	1	12804232
ENSG00000116251	chr1	6165020	6229389	NC_071389_1	1	12815506
ENSG00000158286	chr1	6185475	6241299	NC_071389_1	1	12830831
ENSG00000116237	chr1	6201193	6255972	NC_071389_1	1	12840648
ENSG00000173673	chr1	6224179	6265578	NC_071389_1	1	12848899
ENSG00000158292	chr1	6227353	6281098	NC_071389_1	1	12857746
ENSG00000097021	chr1	6244269	6413767	NC_071389_1	1	12933958
ENSG00000069812	chr1	6392418	6444670	NC_071389_1	1	12947643
ENSG00000187017	chr1	6404776	6481367	NC_071389_1	1	12981100
ENSG00000215788	chr1	6440786	6486175	NC_071389_1	1	12986328
ENSG00000171680	chr1	6447122	6540074	NC_071389_1	1	13022397
ENSG00000162408	chr1	6501347	6574513	NC_071389_1	1	13053901
ENSG00000173662	chr1	6535307	6599755	NC_071389_1	1	13064677
ENSG00000204859	chr1	6559994	6609280	NC_071389_1	1	13069949
ENSG00000162413	chr1	6570724	6634607	NC_071389_1	1	13082788
ENSG00000116273	chr1	6593731	6644030	NC_071389_1	1	13095516
ENSG00000041988	chr1	6604866	6655586	NC_071389_1	1	13104310
ENSG00000007923	chr1	6614168	6721924	NC_071389_1	1	13156368
ENSG00000171735	chr1	6765454	7789706	NC_071389_1	1	13973517
ENSG00000049245	chr1	7751296	7801432	NC_071389_1	1	13985845
ENSG00000049246	chr1	7764291	7865177	NC_071389_1	1	14030097
ENSG00000049247	chr1	7823083	7873512	NC_071389_1	1	14035014
ENSG00000049249	chr1	7895871	7963165	NC_071389_1	1	14084567
ENSG00000116288	chr1	7934291	8005505	NC_071389_1	1	14120898
ENSG00000116285	chr1	7984404	8046309	NC_071389_1	1	14143271
ENSG00000162426	chr1	8298114	8364167	NC_071389_1	1	14565526
